t,vram_used_mib,vram_free_mib,gpu_util_pct,power_w,comfyui_ram_mb,qwen_ram_mb
1.0,,,,,814,23642
6.0,,,,,814,23642
11.0,,,,,814,23642
17.0,,,,,814,0
22.0,,,,,814,0
27.0,,,,,31,0
33.0,,,,,31,0
38.0,,,,,171,0
43.0,,,,,1036,0
49.0,,,,,1333,0
54.0,,,,,1312,0
59.0,,,,,1330,0
65.0,,,,,1337,0
70.0,,,,,1341,0
75.0,,,,,1341,0
81.0,,,,,1341,0
86.0,,,,,1341,0
91.0,,,,,1341,0
97.0,,,,,1341,0
102.0,,,,,5382,0
108.0,,,,,18263,0
113.0,,,,,23275,0
118.0,,,,,25421,0
124.0,,,,,28097,0
129.0,,,,,29157,0
134.0,,,,,30244,0
140.0,,,,,31547,0
145.0,,,,,31547,0
150.0,,,,,33979,0
156.0,,,,,33980,0
161.0,,,,,36412,0
167.0,,,,,36412,0
172.0,,,,,38844,0
177.0,,,,,38844,0
183.0,,,,,41276,0
188.0,,,,,41276,0
193.0,,,,,42199,0
199.0,,,,,42599,0
204.0,,,,,42656,0
209.0,,,,,42340,0
215.0,,,,,42340,0
220.0,,,,,42340,0
225.0,,,,,42340,0
231.0,,,,,42340,0
236.0,,,,,42340,0
242.0,,,,,42340,0
247.0,,,,,42341,0
252.0,,,,,42341,0
258.0,,,,,42962,0
263.0,,,,,42962,0
268.0,,,,,42962,0
274.0,,,,,42962,0
279.0,,,,,42963,0
285.0,,,,,42963,0
290.0,,,,,42963,0
295.0,,,,,42963,0
301.0,,,,,42963,0
306.0,,,,,42963,0
311.0,,,,,42964,0
317.0,,,,,42964,0
322.0,,,,,42964,0
328.0,,,,,42964,0
333.0,,,,,42964,0
338.0,,,,,42965,0
344.0,,,,,42965,0
349.0,,,,,42966,0
354.0,,,,,42966,0
360.0,,,,,42966,0
365.0,,,,,42967,0
371.0,,,,,42967,0
376.0,,,,,42967,0
381.0,,,,,42967,0
387.0,,,,,42968,0
392.0,,,,,42968,0
397.0,,,,,42968,0
403.0,,,,,42968,0
408.0,,,,,42969,0
414.0,,,,,42969,0
419.0,,,,,42969,0
424.0,,,,,42969,0
430.0,,,,,42969,0
435.0,,,,,42970,0
440.0,,,,,42970,0
446.0,,,,,42971,0
451.0,,,,,42971,0
456.0,,,,,42971,0
462.0,,,,,42971,0
467.0,,,,,42971,0
473.0,,,,,42971,0
478.0,,,,,42971,0
483.0,,,,,37202,0
489.0,,,,,37202,0
494.0,,,,,37202,0
499.0,,,,,37202,0
505.0,,,,,37202,0
510.0,,,,,37202,0
515.0,,,,,37202,0
521.0,,,,,37202,0
526.0,,,,,37202,0
532.0,,,,,37202,0
537.0,,,,,37202,0
542.0,,,,,37202,0
548.0,,,,,37202,0
553.0,,,,,37203,0
558.0,,,,,37299,0
564.0,,,,,37299,0
569.0,,,,,37299,0
574.0,,,,,37299,0
580.0,,,,,37299,0
585.0,,,,,37283,0
591.0,,,,,37283,0
596.0,,,,,37283,0
601.0,,,,,37283,0
607.0,,,,,37283,0
612.0,,,,,37283,0
617.0,,,,,37283,0
623.0,,,,,37283,0
628.0,,,,,37283,0
633.0,,,,,37283,0
639.0,,,,,37283,0
644.0,,,,,37283,0
649.0,,,,,37283,0
655.0,,,,,37283,0
660.0,,,,,37283,0
665.0,,,,,37283,0
671.0,,,,,37283,0
676.0,,,,,37283,0
682.0,,,,,37283,0
687.0,,,,,37283,0
692.0,,,,,37283,0
698.0,,,,,37283,0
703.0,,,,,37283,0
708.0,,,,,37283,0
714.0,,,,,37283,0
719.0,,,,,37283,0
724.0,,,,,37283,0
730.0,,,,,37283,0
735.0,,,,,37283,0
740.0,,,,,37283,0
